502908 17/10/2017 15:18:42: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@60641ec8 (msg: , command: null, text: null, date: Tue Oct 17 15:18:42 CEST 2017, id: 585.0067098911491, undoable: false) 
502912 17/10/2017 15:18:42: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@75f65e45 (msg: , command: null, text: null, date: Tue Oct 17 15:18:42 CEST 2017, id: 207.03606822383057, undoable: false) 
502916 17/10/2017 15:18:42: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@6eeade6c (msg: , command: null, text: null, date: Tue Oct 17 15:18:42 CEST 2017, id: 219.27987787629078, undoable: false) 
502919 17/10/2017 15:18:42: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@4a891c97 (msg: , command: null, text: null, date: Tue Oct 17 15:18:42 CEST 2017, id: 47.74172592382331, undoable: false) 
502923 17/10/2017 15:18:42: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@a5bd950 (msg: , command: null, text: null, date: Tue Oct 17 15:18:42 CEST 2017, id: 886.5112705947499, undoable: false) 
502927 17/10/2017 15:18:42: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@4d18aa28 (msg: , command: null, text: null, date: Tue Oct 17 15:18:42 CEST 2017, id: 785.8037175093715, undoable: false) 
502931 17/10/2017 15:18:42: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@75390459 (msg: , command: null, text: null, date: Tue Oct 17 15:18:42 CEST 2017, id: 888.8836172713578, undoable: false) 
502936 17/10/2017 15:18:42: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@7756c3cd (msg: , command: null, text: null, date: Tue Oct 17 15:18:42 CEST 2017, id: 162.11164107719478, undoable: false) 
502940 17/10/2017 15:18:43: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@2313052e (msg: , command: null, text: null, date: Tue Oct 17 15:18:43 CEST 2017, id: 260.1262014541701, undoable: false) 
502944 17/10/2017 15:18:43: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@2bd2b28e (msg: , command: null, text: null, date: Tue Oct 17 15:18:43 CEST 2017, id: 327.333275668963, undoable: false) 
